trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.1, 'e': 0.9564000000000048}",20,0,-121.6180723910155,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
110,False,"{'a': 0.1, 'e': 0.9560000000000048}",25,0,-148.8981362599358,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
111,False,"{'a': 0.1, 'e': 0.9556000000000049}",25,0,-124.59126607585792,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
112,False,"{'a': 0.1, 'e': 0.9552000000000049}",30,12,-106.69639592848392,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 3}",1
113,False,"{'a': 0.1, 'e': 0.954800000000005}",25,0,-126.28320292973224,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.954400000000005}",25,0,-129.32031478009677,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",1
115,False,"{'a': 0.1, 'e': 0.9540000000000051}",30,0,-189.1350749883466,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
116,False,"{'a': 0.1, 'e': 0.9536000000000051}",30,0,-87.8651320114096,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
117,False,"{'a': 0.1, 'e': 0.9532000000000052}",25,8,-22.349156989783463,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.9528000000000052}",20,0,-113.8153471215994,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.9524000000000052}",20,0,-59.50069355091337,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
120,False,"{'a': 0.1, 'e': 0.9520000000000053}",20,0,-31.12852827684752,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
121,False,"{'a': 0.1, 'e': 0.9516000000000053}",20,0,-111.85276064941726,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
122,False,"{'a': 0.1, 'e': 0.9512000000000054}",25,0,-114.23280923773605,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.9508000000000054}",20,0,-55.36710577791346,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
124,False,"{'a': 0.1, 'e': 0.9504000000000055}",30,0,-158.8551589092513,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
125,False,"{'a': 0.1, 'e': 0.9500000000000055}",20,13,-16.71357804973207,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.9496000000000056}",25,0,-117.04781063239595,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
127,False,"{'a': 0.1, 'e': 0.9492000000000056}",25,0,-79.0238286558557,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
128,False,"{'a': 0.1, 'e': 0.9488000000000056}",20,0,-52.83895723965404,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.1, 'e': 0.9484000000000057}",25,0,-145.17879194723662,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
130,False,"{'a': 0.1, 'e': 0.9480000000000057}",20,0,-115.08289645858999,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
131,False,"{'a': 0.1, 'e': 0.9476000000000058}",20,0,-151.97907590698216,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
