trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.1, 'e': 0.25999999999999934}",25,0,-94.48088578098307,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
75,False,"{'a': 0.1, 'e': 0.24999999999999933}",30,0,0.12219174448201553,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.23999999999999932}",25,15,9.119487965693994,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.22999999999999932}",20,3,-96.44682067467437,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
78,False,"{'a': 0.1, 'e': 0.2199999999999993}",25,0,9.937635148127429,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.2099999999999993}",30,0,-61.5571769530442,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.1, 'e': 0.1999999999999993}",30,16,13.76707837640035,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.18999999999999928}",25,14,-3.51236718066485,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.17999999999999927}",20,11,6.272705521989893,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.16999999999999926}",35,9,-7.438100329046575,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.15999999999999925}",25,0,24.734216629520002,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.14999999999999925}",20,0,-24.903270105790572,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.1, 'e': 0.13999999999999924}",20,0,-52.75191253408937,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.12999999999999923}",25,13,22.802574950164505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.11999999999999923}",20,0,27.46101630791817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.10999999999999924}",20,0,-9.385065926485748,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.1, 'e': 0.09999999999999924}",20,9,17.15573823863607,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.08999999999999925}",30,4,16.862084878473432,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.07999999999999925}",20,11,16.670831968706953,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.06999999999999926}",20,0,14.523037951348545,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.059999999999999255}",25,0,-34.191725045648546,"{0: 21, 1: 1, 2: 0, 3: 3, 4: 0}",0
95,False,"{'a': 0.1, 'e': 0.04999999999999925}",25,9,-13.170498351306055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,25.09344466327674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,14,27.462557724825466,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,13.177914354429548,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,16,12.554098011155565,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,12,32.04950240797422,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,18.961091097503363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,20,17.55111720314556,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-16.802413737326855,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,15.129588716547993,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,8,22.42703540055528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
