trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.1, 'e': 0.9665000000000037}",20,0,-130.98426341223265,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
68,False,"{'a': 0.1, 'e': 0.9660000000000037}",20,0,-84.45005397476545,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.1, 'e': 0.9655000000000038}",25,0,-119.55938588762388,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.9650000000000039}",20,0,-179.62471735121989,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
71,False,"{'a': 0.1, 'e': 0.9645000000000039}",20,0,-72.62788895286738,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.964000000000004}",20,0,-54.069132189503904,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.963500000000004}",30,0,-227.55418526490968,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
74,False,"{'a': 0.1, 'e': 0.9630000000000041}",30,0,-204.6119407499285,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
75,False,"{'a': 0.1, 'e': 0.9625000000000041}",25,0,-72.60849159088527,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.1, 'e': 0.9620000000000042}",20,0,-107.43767083925187,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
77,False,"{'a': 0.1, 'e': 0.9615000000000042}",25,0,-87.87659666711082,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.9610000000000043}",30,12,-71.69741220844595,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
79,False,"{'a': 0.1, 'e': 0.9605000000000044}",25,0,-152.63347953474124,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.9600000000000044}",30,0,-103.37696262956207,"{0: 18, 1: 5, 2: 4, 3: 3, 4: 0}",0
81,False,"{'a': 0.1, 'e': 0.9595000000000045}",20,0,-186.45178454254057,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
82,False,"{'a': 0.1, 'e': 0.9590000000000045}",20,0,-130.40576526146742,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
83,False,"{'a': 0.1, 'e': 0.9585000000000046}",20,0,-124.36682868268511,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
84,False,"{'a': 0.1, 'e': 0.9580000000000046}",35,0,-169.67822715322228,"{0: 21, 1: 7, 2: 4, 3: 0, 4: 3}",0
85,False,"{'a': 0.1, 'e': 0.9575000000000047}",30,0,-237.25570468736655,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
86,False,"{'a': 0.1, 'e': 0.9570000000000047}",25,0,-93.41346499995522,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.9565000000000048}",20,0,-61.99468525212264,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.9560000000000048}",20,0,-84.45514400918152,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
89,False,"{'a': 0.1, 'e': 0.9555000000000049}",25,0,-180.33823952577853,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
90,False,"{'a': 0.1, 'e': 0.955000000000005}",25,0,-132.23863325347986,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",1
91,False,"{'a': 0.1, 'e': 0.954500000000005}",25,17,-38.09739152959844,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.1, 'e': 0.9540000000000051}",25,0,-105.56830261936071,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.9535000000000051}",25,0,-292.30836610519,"{0: 9, 1: 2, 2: 7, 3: 3, 4: 4}",0
94,False,"{'a': 0.1, 'e': 0.9530000000000052}",25,0,-71.70388370492383,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.9525000000000052}",20,0,-113.00695711590953,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
96,False,"{'a': 0.1, 'e': 0.9520000000000053}",20,0,-86.70120072096304,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
97,False,"{'a': 0.1, 'e': 0.9515000000000053}",25,0,-127.53443636151171,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
98,False,"{'a': 0.1, 'e': 0.9510000000000054}",25,0,-73.40536766707832,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.1, 'e': 0.9505000000000055}",20,0,-89.02758082047976,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
